Дата;Банк;USD продажа ;USD покупка;EUR продажа;EUR покупка
2020.08.17—21:33;Альфа банк;73.04;74.04;86.63;87.73
;Сбербанк;75.26;71.75;89.11;85.09
;ВТБ;71.1;74.75;84.6;88.25
;Газпромбанк;72.2;74.81;85.8;88.43
;АТБ;72.9;73.76;86.77;87.55
;Открытие;72.6;74.15;86.35;87.9
 ;;;;;
Дата;Банк;USD продажа ;USD покупка;EUR продажа;EUR покупка
2020.08.22—11:36;Альфа банк;74.33;75.33;87.61;88.71
;Сбербанк;76.51;73.01;90.1;86.08
;ВТБ;72.95;76.6;86.3;89.95
;Газпромбанк;71.74;77.85;85.11;91.34
;АТБ;73.85;75.55;87.24;88.96
;Открытие;73.2;76.25;86.6;89.65
 ;;;;;
Дата;Банк;USD продажа ;USD покупка;EUR продажа;EUR покупка
2020.08.22—18:28;Альфа банк;74.33;75.33;87.61;88.71
;Сбербанк;76.51;73.01;90.1;86.08
;ВТБ;72.95;76.6;86.3;89.95
;Газпромбанк;72.3;77.29;85.68;90.78
;АТБ;73.85;75.55;87.24;88.96
;Открытие;73.2;76.25;86.6;89.65
 ;;;;;
Дата;Банк;USD продажа ;USD покупка;EUR продажа;EUR покупка
2020.08.24—22:00;Альфа банк;73.98;74.98;87.57;88.67
;Сбербанк;76.11;72.6;89.8;85.79
;ВТБ;72.45;76.1;85.9;89.55
;Газпромбанк;73.07;75.69;86.55;89.18
;АТБ;73.95;74.81;87.54;88.32
;Открытие;73.65;75.2;87.25;88.85
 ;;;;;
Дата;Банк;USD продажа ;USD покупка;EUR продажа;EUR покупка
2020.08.25—21:55;Альфа банк;74.46;75.46;88.16;89.26
;Сбербанк;76.8;73.29;90.8;86.78
;ВТБ;73.15;76.8;86.85;90.5
;Газпромбанк;73.48;76.09;87.11;89.73
;АТБ;74.75;75.61;88.54;89.33
;Открытие;74.3;75.85;87.95;89.55
 ;;;;;
Дата;Банк;USD продажа ;USD покупка;EUR продажа;EUR покупка
2020.08.26—19:43;Альфа банк;75.31;76.31;88.7;89.8
;Сбербанк;77.56;74.05;91.24;87.24
;ВТБ;74.0;77.65;87.8;91.45
;Газпромбанк;74.6;77.22;88.44;91.06
;АТБ;75.37;76.23;88.96;89.76
;Открытие;74.9;76.45;88.65;90.25
;;;;;
Дата;Банк;USD продажа ;USD покупка;EUR продажа;EUR покупка
2020.08.27—22:41;Альфа банк;74.58;75.58;88.08;89.18
;Сбербанк;76.74;73.22;90.43;86.39
;ВТБ;73.35;77.0;87.05;90.7
;Газпромбанк;73.44;76.06;87.44;90.07
;АТБ;74.61;75.47;88.29;89.08
;Открытие;74.4;75.95;87.9;89.45
 ;;;;;
Дата;Банк;USD продажа ;USD покупка;EUR продажа;EUR покупка
2020.08.28—20:54;Альфа банк;73.88;74.88;88.04;89.14
;Сбербанк;76.0;72.5;90.47;86.46
;ВТБ;72.75;76.4;86.85;90.5
;Газпромбанк;73.33;75.95;87.41;90.04
;АТБ;73.88;74.74;88.09;88.87
;Открытие;73.6;75.15;87.6;89.15
 
Дата;Банк;USD продажа ;USD покупка;EUR продажа;EUR покупка
2020.08.29—18:52;Альфа банк;73.56;74.56;87.59;88.69
;Сбербанк;75.82;72.31;90.07;86.04
;ВТБ;72.75;76.4;86.85;90.5
;Газпромбанк;72.65;75.37;86.68;89.5
;АТБ;73.2;75.0;87.19;88.96
;Открытие;72.5;75.55;86.55;89.6
 
Дата;Банк;USD продажа ;USD покупка;EUR продажа;EUR покупка
2020.09.01—20:30;Альфа банк;73.04;74.04;87.56;88.66
;Сбербанк;75.29;71.78;90.12;86.1
;ВТБ;71.8;75.45;86.25;89.95
;Газпромбанк;72.31;74.92;86.79;89.42
;АТБ;73.14;74.0;87.89;88.67
;Открытие;72.8;74.35;87.35;88.9
 
